epochs,maximum,average
1,423.4,149.91199975585937
2,881.2,239.1639987792969
3,1314.2,345.7079973144531
4,1497.2,463.4760017089844
5,1926.2,471.08000048828114
6,1717.4,545.1239975585937
7,2141.2,599.3519970703126
8,2197.8,556.616005859375
9,2529.8,667.7280034179687
10,2627.4,776.0439965820312
11,2396.8,760.5040014648438
12,2643.0,744.824
13,3010.2,819.1919995117188
14,2557.8,653.7399970703125
15,2846.8,833.9080004882813
16,2990.0,729.3280034179688
17,2969.0,699.3040004882812
18,2557.0,712.3199946289062
19,1920.8,635.3199980468751
20,2415.2,629.2640043945312
21,3067.8,635.6119985351563
22,3161.2,719.5640002441405
23,2506.2,722.0880009765625
24,2297.0,570.9680053710938
25,2267.8,547.144001953125
26,1827.6,500.76000195312497
27,2560.0,609.3239995117189
28,2194.2,649.983998046875
29,2649.8,704.6800117187499
30,2626.4,691.3479951171875
31,2225.8,642.3359985351562
32,2196.0,610.1399960937499
33,1987.4,608.7319992675781
34,5273.0,735.5599931640625
35,3010.2,614.7400053710937
36,2370.8,636.6319990234375
37,2564.6,612.8280043945313
38,2989.0,782.6199995117188
39,2170.6,601.004001953125
40,2355.0,701.619998046875
41,2353.8,546.960001953125
42,2933.0,679.9239970703125
43,3357.6,719.7600048828124
44,3643.8,692.6559985351562
45,2704.2,599.724005859375
46,2639.2,623.5240043945312
47,1991.8,524.7640019531251
48,2614.6,619.6399975585938
49,2731.4,727.7519970703124
50,2883.2,686.6920009765624
