epochs,average,maximum
1,181.24,481
2,308.46,719
3,361.58,1236
4,514.4,1692
5,381.62,3026
6,603.18,1780
7,589.94,2088
8,549.48,1458
9,914.54,3917
10,1002.72,2902
11,814.0,2471
12,790.18,2550
13,825.2,2698
14,556.6,2427
15,1080.7,2992
16,688.42,2959
17,509.3,2584
18,622.48,1750
19,561.46,1877
20,509.16,1467
21,454.98,2182
22,857.46,3151
23,554.5,1695
24,600.82,2668
25,579.84,1598
26,560.78,1907
27,758.2,2128
28,673.96,2519
29,454.7,1338
30,501.26,3547
31,421.64,1506
32,567.98,1988
33,706.54,2107
34,589.48,1600
35,485.58,1333
36,405.68,1194
37,748.04,2258
38,826.16,3435
39,586.5,1488
40,552.52,1990
41,611.08,2695
42,549.4,2912
43,565.14,1862
44,579.38,2649
45,457.38,1627
46,491.3,3524
47,459.38,2735
48,377.78,1328
49,367.9,1676
50,410.42,1236
