epochs,maximum,average
1,454.8,133.23600036621093
2,770.4,201.9160010986328
3,1174.0,318.44000244140625
4,1527.0,422.19600195312495
5,1930.6,473.3759973144532
6,1472.8,398.6279973144531
7,1569.2,543.6759951171875
8,1954.0,550.3119980468749
9,1762.8,543.5600002441406
10,2252.2,642.375994140625
11,2824.0,644.93199609375
12,2210.2,693.0960053710938
13,2636.8,765.9839985351563
14,2774.6,867.5959970703127
15,2649.4,814.492005859375
16,2830.2,983.895990234375
17,3639.2,987.5719941406251
18,3532.0,1044.9840078125003
19,3533.4,1019.0160058593752
20,3252.6,1055.6640019531249
21,4680.8,1442.4799990234374
22,4141.6,1262.731994140625
23,5078.2,1139.6120009765625
24,4540.8,1403.6919956054687
25,4183.0,1261.727998046875
26,4435.0,1236.4599980468752
27,5421.6,1405.0280039062498
28,5107.6,1536.635990234375
29,4886.0,1441.9520068359375
30,5643.0,1700.0560009765625
31,6980.2,1887.576005859375
32,6539.2,1870.5879921874998
33,4902.4,1431.98801171875
34,4913.6,1504.167998046875
35,5195.0,1590.260009765625
36,5715.8,1568.92401171875
37,5409.4,1531.7320068359375
38,7376.4,1623.3119960937497
39,5427.6,1621.476
40,5886.0,1566.587990234375
41,5283.4,1918.4199892578126
42,5286.2,1514.5319921875
43,5929.0,1593.5200087890626
44,6471.6,1861.599998046875
45,5150.0,1572.7439990234375
46,5609.2,1645.53599609375
47,7932.0,1759.3240039062498
48,7386.8,1851.7039921874998
49,6987.8,1988.6120039062503
50,7335.0,1945.544009765625

