epochs,average,maximum
1,101.96,261
2,160.14,789
3,301.9,1448
4,494.22,1284
5,353.92,1816
6,489.44,2314
7,600.78,1524
8,744.72,1833
9,509.42,1492
10,576.28,1794
11,852.26,3440
12,713.94,2315
13,662.42,2335
14,1297.4,4218
15,1036.16,2782
16,665.6,1609
17,935.14,4722
18,715.06,2498
19,1020.72,3761
20,1504.64,3751
21,1575.84,4186
22,1471.66,5171
23,1236.88,3286
24,1797.64,5345
25,1124.52,4525
26,1181.34,4262
27,1281.86,5375
28,1281.52,4373
29,1081.52,5507
30,1751.08,5969
31,1943.1,7858
32,1692.62,5067
33,1228.52,6339
34,1421.72,3860
35,1280.22,4862
36,1592.12,5298
37,1743.34,5998
38,1736.04,5433
39,1507.96,5477
40,1657.96,4704
41,1893.72,6194
42,1940.68,7988
43,1657.98,6112
44,2037.58,6919
45,1830.26,7959
46,1898.78,6862
47,2324.46,8437
48,1596.66,7018
49,2097.02,9276
50,2750.62,8102
