epochs,average,maximum
1,128.76,576
2,204.5,1020
3,486.1,1541
4,668.26,1786
5,768.86,2978
6,589.02,1868
7,668.9,2424
8,974.72,3571
9,1014.88,3413
10,1282.56,6706
11,845.12,3274
12,971.18,2867
13,841.92,5536
14,777.62,3213
15,875.84,3455
16,1045.24,3096
17,893.16,3420
18,689.08,2689
19,852.22,3735
20,641.78,2567
21,738.02,2892
22,666.84,3480
23,507.32,1814
24,680.08,4507
25,904.16,3744
26,663.78,2623
27,607.12,2627
28,745.5,2749
29,671.58,2130
30,603.54,4416
31,446.38,1863
32,673.84,2213
33,747.52,2111
34,521.54,2457
35,814.42,2344
36,881.04,2778
37,777.2,3004
38,952.78,2725
39,857.48,3077
40,727.24,3462
41,631.04,3279
42,748.38,2505
43,754.56,2817
44,768.46,2688
45,870.0,2823
46,803.56,2913
47,796.98,3256
48,782.84,2281
49,533.14,1762
50,564.16,1973
