epochs,maximum,average
1,457.2,106.35599951171875
2,781.6,198.36000146484375
3,1412.0,376.6199992675781
4,1852.2,477.3759987792969
5,1702.4,544.1200007324219
6,1994.4,546.3319995117188
7,2170.4,641.852
8,2289.2,656.7000009765625
9,2599.8,703.6679975585937
10,2557.0,734.220001953125
11,2952.2,896.6759892578124
12,4106.8,954.7599980468749
13,4022.2,1020.80799609375
14,4121.0,1024.7960019531251
15,4323.4,1202.1520039062502
16,4154.0,1142.0799985351564
17,4171.8,1181.3119970703124
18,4676.0,1232.5920058593751
19,5021.6,1341.6920029296875
20,6476.4,1491.77601171875
21,5807.0,1610.3560029296875
22,5434.8,1671.5719921875
23,5329.6,1629.4080078125
24,5428.0,1644.7200068359375
25,6177.8,1661.9679970703123
26,5897.8,1644.7720117187498
27,6442.2,1846.6439931640627
28,7340.0,1685.2400048828124
29,7737.2,1901.2279951171877
30,6327.4,1803.039986328125
31,5645.6,1766.0760009765625
32,6803.8,1874.4399960937499
33,5739.0,1681.4440019531248
34,6269.4,1818.1000039062499
35,6626.6,1950.3279980468753
36,7799.4,1918.236021484375
37,8146.0,2045.1760009765626
38,7392.2,1991.612015625
39,5907.0,1863.0839921875
40,6883.6,1951.06401171875
41,6840.8,2026.6199892578122
42,6897.0,2069.528
43,5887.6,1765.7239892578127
44,6119.4,1867.7840009765628
45,7007.8,1905.6759912109374
46,6450.2,1813.9120078125002
47,5544.8,1854.711998046875
48,6729.0,1773.2680097656253
49,6294.0,1991.4840078125003
50,7101.8,2074.888010742188

