epochs,average,maximum
1,117.56,556
2,233.82,950
3,381.84,1610
4,511.4,1763
5,488.16,1482
6,511.06,2403
7,648.5,2622
8,545.38,2632
9,706.3,3884
10,541.76,2081
11,1089.32,2601
12,950.74,5428
13,929.98,3897
14,809.26,2645
15,1149.02,3844
16,1016.18,4491
17,863.86,2646
18,1054.78,3364
19,1158.14,4183
20,1086.56,3370
21,1222.64,3570
22,1154.96,4386
23,1254.54,4927
24,1594.66,4298
25,1525.86,7140
26,1379.06,6003
27,1879.84,10563
28,1489.4,4651
29,1902.6,6730
30,2117.68,6195
31,1555.38,4890
32,1663.98,8796
33,1477.26,7661
34,2252.52,7195
35,2109.74,8149
36,2072.36,7348
37,1932.88,7418
38,2168.08,6367
39,2064.46,8026
40,1833.56,6142
41,2006.82,7152
42,2277.5,7869
43,1636.32,6852
44,1803.88,6004
45,1693.08,5974
46,1513.54,3873
47,1986.24,5805
48,1590.3,6085
49,1708.54,6116
50,1611.18,4451
