epochs,average,maximum
1,307.6,2412
2,937.36,2799
3,949.85,3018
4,981.92,6832
5,1176.55,5159
6,1307.4,5080
7,1148.4,8760
8,1141.05,6386
9,1514.37,5044
10,1450.71,5074
11,1650.24,10645
12,1431.87,4640
13,1083.27,4892
14,1229.38,6712
15,1175.28,4776
16,1488.52,4482
17,1074.44,4178
18,1645.99,6935
19,1294.78,6042
20,1565.18,5461
21,1251.43,5730
22,1264.21,8029
23,1470.98,6053
24,1546.01,5755
25,1340.73,5267
26,1229.53,5249
27,1677.55,5810
28,1394.38,5132
29,1263.85,5190
30,1562.82,6485
31,1318.59,5810
32,1183.79,5275
33,1694.23,5622
34,938.45,4201
35,1246.89,5558
36,1334.23,4707
37,1237.53,5372
38,1214.22,4767
39,1289.21,5387
40,1240.36,5466
41,1132.46,4425
42,1302.64,5708
43,1463.71,6447
44,1246.69,4237
45,1385.27,8476
46,1034.2,7448
47,1309.84,4883
48,1021.56,3197
49,1151.24,4166
50,1146.29,7765
