epochs,average,maximum
1,307.74,2505
2,484.29,3101
3,756.88,3906
4,934.8,3253
5,920.54,4493
6,1153.11,4341
7,1025.0,3326
8,862.59,3287
9,1085.22,3696
10,1128.18,4737
11,1023.66,4426
12,1019.94,4800
13,1001.1,3204
14,877.85,5296
15,954.11,3996
16,1007.83,4140
17,1218.45,5691
18,1187.96,5075
19,1167.76,3591
20,1333.24,4793
21,933.23,3850
22,1201.46,4682
23,1222.5,7066
24,1238.06,5364
25,1312.78,3727
26,1329.23,4378
27,773.06,4924
28,1358.7,5426
29,1263.7,5963
30,1027.09,4188
31,1107.33,5807
32,830.82,2731
33,1240.53,5851
34,1345.57,4157
35,1676.0,5592
36,1195.37,5863
37,1593.51,6196
38,1107.0,7333
39,1260.01,5601
40,1180.58,4121
41,1142.24,5525
42,973.43,5525
43,1558.13,5797
44,1468.23,8176
45,1891.47,9135
46,1314.35,5285
47,1837.08,8064
48,1387.81,6228
49,1646.27,8521
50,1564.16,7669
